,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
0,0,5,5,2,4.07253360748291,2,2.539674758911133,1.5328588485717773
1,1,2,3,1,4.486278057098389,1,1.3628642559051514,3.1234138011932373
2,2,3,5,9,6.359221458435059,9,4.190744400024414,2.1684770584106445
3,3,7,6,5,4.7947998046875,5,3.2418599128723145,1.5529398918151855
4,4,6,5,1,4.497326850891113,1,3.716932058334351,0.7803947925567623
5,5,7,8,8,7.692556858062744,8,7.2743940353393555,0.41816282272338867
6,6,17,8,3,17.25159454345703,3,15.905951499938965,1.3456430435180664
7,7,5,6,1,7.433479785919189,1,6.164292335510254,1.2691874504089347
8,8,1,2,5,3.594882011413574,5,0.3831165730953216,3.2117654383182526
9,9,4,6,10,4.976759910583496,10,4.376661777496338,0.6000981330871582
10,10,13,6,9,7.154085159301758,9,9.076536178588867,-1.9224510192871094
11,11,24,7,7,24.468544006347656,7,22.000808715820312,2.4677352905273438
12,12,28,13,9,18.22173309326172,9,17.25074005126953,0.9709930419921875
13,13,45,7,2,38.900577545166016,2,39.618438720703125,-0.7178611755371094
14,14,11,10,8,14.252816200256348,8,14.189053535461426,0.06376266479492188
15,15,39,15,8,39.27056884765625,8,37.84678649902344,1.4237823486328125
16,16,43,12,9,38.61714172363281,9,38.59800338745117,0.019138336181640625
17,17,64,14,4,75.23857116699219,4,73.20527648925781,2.033294677734375
18,18,38,15,7,45.19762420654297,7,44.98045349121094,0.21717071533203125
19,19,2,2,7,3.763588190078736,7,2.051809310913086,1.7117788791656499
20,20,23,10,8,32.18986129760742,8,30.4404239654541,1.7494373321533203
21,21,13,11,9,13.903082847595217,9,12.627562522888184,1.275520324707033
22,22,30,21,8,23.991233825683597,8,23.76439666748047,0.22683715820312855
23,23,50,11,2,56.31984329223633,2,53.200531005859375,3.119312286376953
24,24,25,12,6,22.685096740722656,6,19.32287979125977,3.362216949462887
25,25,19,6,6,11.646060943603516,6,11.4948148727417,0.1512460708618164
26,26,28,18,7,31.916662216186523,7,29.86455535888672,2.0521068572998047
27,27,18,15,8,16.19858169555664,8,14.056692123413086,2.1418895721435547
28,28,59,17,9,69.77876281738281,9,66.96884155273438,2.8099212646484375
29,29,22,9,5,20.39897918701172,5,19.2487907409668,1.1501884460449183
30,30,28,16,3,34.20838928222656,3,30.577152252197266,3.631237030029297
31,31,39,22,6,34.64857482910156,6,32.715579986572266,1.9329948425292969
