,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
0,0,5,5,2,4.07253360748291,2,3.070746898651123,1.001786708831787
1,1,2,3,1,4.486278057098389,1,1.2531616687774658,3.233116388320923
2,2,3,5,9,6.359221458435059,9,4.382622241973877,1.9765992164611816
3,3,7,6,5,4.7947998046875,5,3.292931318283081,1.501868486404419
4,4,6,5,1,4.497326850891113,1,3.938631534576416,0.5586953163146973
5,5,7,8,8,7.692556858062744,8,7.638200759887695,0.05435609817504883
6,6,17,8,3,17.25159454345703,3,17.338424682617188,-0.08683013916015625
7,7,5,6,1,7.433479785919189,1,6.253523826599121,1.1799559593200675
8,8,1,2,5,3.594882011413574,5,0.2849803864955902,3.309901624917984
9,9,4,6,10,4.976759910583496,10,3.3535194396972656,1.6232404708862305
10,10,13,6,9,7.154085159301758,9,8.908364295959473,-1.7542791366577148
11,11,24,7,7,24.468544006347656,7,22.14606475830078,2.322479248046875
12,12,28,13,9,18.22173309326172,9,17.384618759155273,0.8371143341064453
13,13,45,7,2,38.900577545166016,2,37.087520599365234,1.8130569458007812
14,14,11,10,8,14.252816200256348,8,13.668746948242188,0.5840692520141602
15,15,39,15,8,39.27056884765625,8,38.0689697265625,1.20159912109375
16,16,43,12,9,38.61714172363281,9,38.19368362426758,0.4234580993652344
17,17,64,14,4,75.23857116699219,4,75.25564575195312,-0.0170745849609375
18,18,38,15,7,45.19762420654297,7,45.624977111816406,-0.4273529052734375
19,19,2,2,7,3.763588190078736,7,1.3199728727340698,2.443615317344666
20,20,23,10,8,32.18986129760742,8,30.746978759765625,1.4428825378417969
21,21,13,11,9,13.903082847595217,9,12.809404373168944,1.093678474426273
22,22,30,21,8,23.991233825683597,8,23.66181182861328,0.32942199707031605
23,23,50,11,2,56.31984329223633,2,54.01445770263672,2.3053855895996094
24,24,25,12,6,22.685096740722656,6,19.868083953857425,2.817012786865231
25,25,19,6,6,11.646060943603516,6,11.356226921081545,0.2898340225219709
26,26,28,18,7,31.916662216186523,7,29.742542266845703,2.1741199493408203
27,27,18,15,8,16.19858169555664,8,14.741829872131348,1.456751823425293
28,28,59,17,9,69.77876281738281,9,66.47972106933594,3.299041748046875
29,29,22,9,5,20.39897918701172,5,18.737157821655277,1.6618213653564418
30,30,28,16,3,34.20838928222656,3,31.36929702758789,2.839092254638672
31,31,39,22,6,34.64857482910156,6,32.46530532836914,2.183269500732422
32,32,26,20,6,24.56521987915039,6,22.56597900390625,1.9992408752441406
33,33,4,4,2,3.3332114219665527,2,3.702302217483521,-0.3690907955169682
34,34,9,5,3,6.3402485847473145,3,6.141114234924316,0.19913434982299805
35,35,30,12,5,20.054378509521484,5,20.094417572021484,-0.0400390625
36,36,25,8,8,29.93586158752441,8,30.750946044921875,-0.8150844573974645
37,37,14,9,8,13.555353164672852,8,12.911108016967772,0.6442451477050799
38,38,21,15,7,21.41567039489746,7,21.237865447998047,0.17780494689941406
39,39,19,8,5,20.12946128845215,5,20.33671188354492,-0.20725059509276988
40,40,41,14,1,43.41603469848633,1,42.10352325439453,1.3125114440917969
41,41,13,11,6,10.2205810546875,6,9.314470291137695,0.9061107635498047
42,42,22,15,6,22.60177230834961,6,23.01380920410156,-0.4120368957519496
43,43,22,12,2,21.78109359741211,2,20.221078872680664,1.5600147247314453
44,44,2,2,5,3.594882011413574,5,0.6523696780204773,2.942512333393097
45,45,15,11,8,15.48307991027832,8,14.525447845458984,0.9576320648193359
46,46,20,12,4,16.361392974853516,4,16.858783721923828,-0.4973907470703125
47,47,23,12,7,28.20306396484375,7,26.964982986450195,1.2380809783935547
48,48,26,10,9,21.91625213623047,9,22.258773803710938,-0.34252166748046875
49,49,25,7,1,22.792022705078125,1,22.094459533691406,0.6975631713867188
50,50,5,4,7,3.3284709453582764,7,1.3396621942520142,1.9888087511062622
51,51,23,8,8,23.053815841674805,8,21.904468536376957,1.149347305297848
52,52,22,10,2,29.21844482421875,2,27.32655334472656,1.891891479492191
53,53,22,7,3,13.09872055053711,3,15.588249206542969,-2.4895286560058594
54,54,27,8,5,19.543811798095703,5,18.329490661621094,1.2143211364746094
55,55,16,7,10,11.884916305541992,10,10.378433227539062,1.5064830780029297
56,56,18,12,8,22.36662101745605,8,21.37152862548828,0.9950923919677699
57,57,30,19,5,24.85091781616211,5,23.55299949645996,1.2979183197021484
58,58,38,16,7,44.63629150390625,7,43.66162872314453,0.9746627807617188
59,59,13,7,6,11.067768096923828,6,11.091873168945312,-0.024105072021484375
60,60,13,5,10,10.900518417358398,10,11.955942153930664,-1.0554237365722656
61,61,17,10,1,25.8767147064209,1,23.429656982421875,2.4470577239990234
62,62,57,12,7,65.61450958251953,7,63.24104309082031,2.3734664916992188
63,63,12,7,4,6.74035120010376,4,6.163713455200195,0.5766377449035645
64,64,23,8,8,26.735441207885746,8,25.51886749267578,1.2165737152099645
65,65,20,9,6,23.16572952270508,6,22.06303596496582,1.1026935577392614
66,66,54,13,9,67.04621124267578,9,65.10395050048828,1.9422607421875
67,67,22,10,9,18.31721305847168,9,18.23155975341797,0.08565330505371094
68,68,9,6,6,7.390180587768555,6,5.880143642425537,1.5100369453430176
69,69,30,12,3,28.52925109863281,3,28.44949531555176,0.07975578308104758
