,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
0,0,5,5,2,7.675314903259277,2,8.903786659240723,-1.2284717559814453
1,1,2,3,1,11.264684677124023,1,7.460721492767334,3.8039631843566895
2,2,3,5,9,28.227584838867188,9,17.157880783081055,11.069704055786133
3,3,7,6,5,10.087532043457031,5,8.522872924804688,1.5646591186523438
4,4,6,5,1,19.78049659729004,1,18.424558639526367,1.3559379577636719
5,5,7,8,8,24.75645065307617,8,20.6579704284668,4.098480224609368
6,6,17,8,3,59.85967254638672,3,56.07315444946289,3.786518096923828
7,7,5,6,1,17.516712188720703,1,14.501627922058104,3.0150842666625994
8,8,1,2,5,6.90938663482666,5,1.9487555027008057,4.9606311321258545
9,9,4,6,10,17.706951141357422,10,13.958426475524902,3.7485246658325195
10,10,13,6,9,39.08030319213867,9,35.553428649902344,3.526874542236328
11,11,24,7,7,92.527099609375,7,90.98483276367188,1.542266845703125
12,12,28,13,9,71.47262573242188,9,74.81634521484375,-3.343719482421875
13,13,45,7,2,158.18870544433594,2,143.80606079101562,14.382644653320312
14,14,11,10,8,32.77558898925781,8,33.08614730834961,-0.3105583190917969
15,15,39,15,8,101.65966796875,8,96.34954833984376,5.310119628906236
16,16,43,12,9,83.20124816894531,9,86.18470001220703,-2.9834518432617188
17,17,64,14,4,216.4162750244141,4,218.50030517578125,-2.084030151367159
18,18,38,15,7,124.92984008789062,7,119.7628173828125,5.167022705078125
19,19,2,2,7,16.278146743774414,7,14.305459976196287,1.9726867675781268
20,20,23,10,8,159.4718475341797,8,148.8812713623047,10.590576171875
21,21,13,11,9,32.77333068847656,9,27.805315017700195,4.968015670776367
22,22,30,21,8,77.47911071777344,8,73.99748229980469,3.48162841796875
23,23,50,11,2,149.1930694580078,2,146.92604064941406,2.26702880859375
24,24,25,12,6,62.45502471923828,6,58.734222412109375,3.7208023071289062
25,25,19,6,6,27.880979537963867,6,27.0929012298584,0.7880783081054688
26,26,28,18,7,65.04409790039062,7,63.383670806884766,1.6604270935058594
27,27,18,15,8,36.33071899414063,8,33.68138122558594,2.6493377685546946
28,28,59,17,9,178.30276489257812,9,171.825927734375,6.476837158203125
29,29,22,9,5,48.60124588012695,5,44.21280670166016,4.38843917846679
30,30,28,16,3,82.8027114868164,3,88.23579406738281,-5.433082580566406
31,31,39,22,6,71.87214660644531,6,69.82611083984375,2.0460357666015625
32,32,26,20,6,64.79644775390625,6,59.34459686279297,5.451850891113281
33,33,4,4,2,9.707624435424805,2,12.075364112854004,-2.367739677429199
34,34,9,5,3,32.04621887207031,3,30.89377212524414,1.1524467468261719
35,35,30,12,5,78.52682495117188,5,77.63079071044922,0.8960342407226562
36,36,25,8,8,68.42696380615234,8,67.15691375732422,1.270050048828125
37,37,14,9,8,28.985767364501957,8,28.475095748901367,0.5106716156005895
38,38,21,15,7,54.59944915771485,7,54.4829216003418,0.11652755737305398
39,39,19,8,5,70.26514434814453,5,60.88999176025391,9.375152587890618
40,40,41,14,1,111.02009582519533,1,103.20380401611328,7.8162918090820455
41,41,13,11,6,35.806488037109375,6,33.32941818237305,2.477069854736328
42,42,22,15,6,71.36856079101562,6,66.60090637207031,4.7676544189453125
43,43,22,12,2,41.54039764404297,2,39.5708236694336,1.969573974609368
44,44,2,2,5,5.684404373168945,5,1.9963330030441284,3.688071370124817
45,45,15,11,8,46.22698593139648,8,42.004878997802734,4.222106933593743
46,46,20,12,4,58.94400024414063,4,63.29841232299805,-4.354412078857415
47,47,23,12,7,61.90821075439453,7,59.51436614990234,2.3938446044921946
48,48,26,10,9,46.78595352172852,9,43.3916130065918,3.394340515136726
49,49,25,7,1,45.20611953735352,1,42.94765472412109,2.258464813232436
50,50,5,4,7,8.780784606933594,7,8.022638320922852,0.7581462860107422
51,51,23,8,8,44.92040252685547,8,41.30376052856445,3.6166419982910156
52,52,22,10,2,63.39935302734375,2,63.171913146972656,0.22743988037109375
53,53,22,7,3,35.90251159667969,3,36.43674087524414,-0.5342292785644531
54,54,27,8,5,58.89302062988281,5,54.27725601196289,4.615764617919922
55,55,16,7,10,30.52082061767578,10,28.741989135742188,1.7788314819335938
56,56,18,12,8,56.26884078979492,8,54.51974868774414,1.7490921020507812
57,57,30,19,5,60.42173767089844,5,55.3964958190918,5.025241851806641
58,58,38,16,7,114.24983978271484,7,112.89836120605467,1.3514785766601705
59,59,13,7,6,25.63412857055664,6,22.2792911529541,3.354837417602539
60,60,13,5,10,35.6609992980957,10,36.25603866577149,-0.5950393676757884
61,61,17,10,1,66.25484466552734,1,71.09358215332031,-4.838737487792969
62,62,57,12,7,189.85955810546875,7,191.38735961914065,-1.5278015136719034
63,63,12,7,4,20.97015380859375,4,16.534658432006836,4.435495376586914
