,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
0,0,5,5,2,7.675314903259277,2,10.654851913452148,-2.979537010192871
1,1,2,3,1,11.264684677124023,1,5.553347587585449,5.711337089538574
2,2,3,5,9,28.227584838867188,9,17.376270294189453,10.851314544677734
3,3,7,6,5,10.087532043457031,5,8.63198471069336,1.4555473327636719
4,4,6,5,1,19.78049659729004,1,15.628936767578123,4.151559829711916
5,5,7,8,8,24.75645065307617,8,21.069297790527344,3.6871528625488246
6,6,17,8,3,59.85967254638672,3,58.26719665527344,1.5924758911132812
7,7,5,6,1,17.516712188720703,1,14.5831880569458,2.9335241317749023
8,8,1,2,5,6.90938663482666,5,3.2391915321350098,3.6701951026916504
9,9,4,6,10,17.706951141357422,10,14.873899459838867,2.8330516815185547
10,10,13,6,9,39.08030319213867,9,34.07855224609375,5.001750946044922
11,11,24,7,7,92.527099609375,7,92.938232421875,-0.4111328125
12,12,28,13,9,71.47262573242188,9,70.86080932617188,0.61181640625
13,13,45,7,2,158.18870544433594,2,152.257568359375,5.9311370849609375
14,14,11,10,8,32.77558898925781,8,32.93649673461914,-0.16090774536132812
15,15,39,15,8,101.65966796875,8,97.26152801513672,4.398139953613281
16,16,43,12,9,83.20124816894531,9,83.87777709960938,-0.6765289306640625
17,17,64,14,4,216.4162750244141,4,200.47003173828125,15.946243286132841
18,18,38,15,7,124.92984008789062,7,120.1849594116211,4.744880676269531
19,19,2,2,7,16.278146743774414,7,16.41387939453125,-0.13573265075683594
20,20,23,10,8,159.4718475341797,8,147.50848388671875,11.963363647460938
21,21,13,11,9,32.77333068847656,9,30.336877822875977,2.436452865600586
22,22,30,21,8,77.47911071777344,8,73.43769836425781,4.041412353515625
23,23,50,11,2,149.1930694580078,2,148.907470703125,0.2855987548828125
24,24,25,12,6,62.45502471923828,6,62.756591796875,-0.30156707763671875
25,25,19,6,6,27.880979537963867,6,27.137529373168945,0.7434501647949219
26,26,28,18,7,65.04409790039062,7,60.26724243164063,4.776855468749993
27,27,18,15,8,36.33071899414063,8,32.07542419433594,4.255294799804695
28,28,59,17,9,178.30276489257812,9,171.99459838867188,6.30816650390625
29,29,22,9,5,48.60124588012695,5,46.9506721496582,1.65057373046875
30,30,28,16,3,82.8027114868164,3,84.51254272460938,-1.7098312377929688
31,31,39,22,6,71.87214660644531,6,70.65213012695312,1.2200164794921875
32,32,26,20,6,64.79644775390625,6,63.406986236572266,1.3894615173339844
33,33,4,4,2,9.707624435424805,2,14.076216697692873,-4.368592262268068
34,34,9,5,3,32.04621887207031,3,33.11524200439453,-1.0690231323242188
35,35,30,12,5,78.52682495117188,5,78.29550170898438,0.2313232421875
